"* Required Fields","* 必填欄位"
"Email Sender","寄件人"
"Send Emails To","發送郵件給"
"Enable Contact Us","啟用聯繫我們"
"Name","姓名"
"Comment","內容"
"Email","電子郵件"
"Email Options","電子郵件選項"
"Email Template","電子郵件樣板"
"Telephone","電話"
"Contacts Section","聯繫單元"
"Contacts","聯繫人"
"Contact Information","聯繫訊息"
"Contact Form","聯繫表單"
"Contact Us","聯繫我們"
"Submit","提交"
"Unable to submit your request. Please, try again later","無法提交您的問題，請稍後重試。"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的問題已提交，我們會盡快回复您。感謝您聯繫我們！"
