"%s","%s"
"-- Please Select --","-- 請選擇 --"
"Actions","操作"
"Add Layout Update","新增版面更新"
"Add New Widget Instance","新增元素實例"
"All","全部"
"All Pages","所有頁面"
"All Product Types","所有產品類型"
"An error occurred during saving a widget: %s","儲存一個 widget 時發生錯誤： %s"
"Anchor Categories","錨點分類"
"Apply","套用"
"Assign to Store Views","指定到商店畫面"
"Big Image","大圖片"
"Block Reference","區塊偏好"
"CMS","網頁"
"Categories","分類"
"Choose...","選擇.."
"Close","關閉"
"Continue","繼續"
"Default Template","預設樣板"
"Delete","刪除"
"Design Package/Theme","設計包/主題"
"Export to:","匯出到："
"Frontend Properties","前台屬性"
"Generic Pages","一般網頁"
"Images","圖片"
"Insert Widget","加入元素"
"Insert Widget...","加入元素.."
"Layout Updates","版面更新"
"Manage Widget Instances","管理元素實例"
"New Instance","新增實例"
"New Widget Instance","新增元素實例"
"Next page","下一頁"
"Non-Anchor Categories","沒有錨點分類"
"Not Selected","沒有選擇的"
"Open Chooser","開啟選擇"
"Page","頁"
"Please Select Block Reference First","請先選擇區塊偏好"
"Previous page","上一頁"
"Products","產品"
"Remove Layout Update","移除版面更新"
"Save and Continue Edit","儲存後繼續編輯"
"Select All","全選"
"Select Visible","選擇所見範圍"
"Settings","設定"
"Sort Order","排序"
"Sort Order of widget instances in the same block reference","在同樣區塊偏好中的元素實例排序"
"Specific %s","指定 %s"
"Specified Page","指定頁面"
"Template","樣板"
"The information in this tab has been changed.","這個頁籤的資訊已經變更"
"The widget instance has been deleted.","widget 實例已經刪除"
"The widget instance has been saved.","widget 實例已經儲存"
"This tab contains invalid data. Please solve the problem before saving.","這個頁籤包含錯誤資料，在儲存前請修正問題"
"Thumbnail","縮圖"
"Total %d records found","共有 %d 筆資料"
"Type","類型"
"Unselect All","全部取消"
"Unselect Visible","取消可見範圍"
"View","檢視"
"Widget","元素"
"Widget ""%s""","元素 ""%s"""
"Widget ID","元素 ID"
"Widget Insertion","加入元素"
"Widget Instance","元素實例"
"Widget Instance Title","元素實例標題"
"Widget Options","元素選項"
"Widget Type","元素類型"
"Widget Type is not specified","沒有指定元素類型"
"Widget instance is not full complete to create.","元素實例建立不完全"
"Widgets","元素"
"Wrong widget instance specified.","指定了錯誤的元素"
"items selected","個已選擇"
"of %s pages","/ 共 %s 頁"
"per page","每頁"
