"%s","%s的"
"%s role is a special one and can\'t be changed.","%s 是特別的角色，不能夠修改"
"%s role is a special one and can\'t be deleted.","%s 是特別的角色，不能夠刪除"
"%s role is protected.","%s 角色是受保護的"
"ACL Attribute Rules","ACL屬性規則"
"ACL Attributes Information","ACL屬性資訊"
"Add","加"
"Add Admin Role","新增管理員角色"
"Add New Role","新增新角色"
"Address Type","地址類型"
"Admin","管理"
"Allow","允許"
"An error occurred while deleting the role.","刪除角色時發生錯誤"
"An error occurred while saving attribute rules.","儲存屬性規則時發生錯誤"
"An error occurred while saving role.","儲存角色時發生錯誤"
"Api Rules Information","API 規則資訊"
"Assigned","分配"
"Associate to Website","指定到網站"
"Attribute Rules Information","屬性規則的詳細資訊"
"Attribute Set","屬性集"
"Attributes","屬性"
"Automatically Return Credit Memo Item to Stock","自動將折讓單品項還原到庫存"
"Back","背面"
"Backorders","預購"
"Base Currency","基礎貨幣"
"Base Customer Balance","基本客戶餘額"
"Base Discount","基本折扣"
"Base Discount Amount","基本折扣金額"
"Base Item Subtotal","基地項目小計"
"Base Item Subtotal Including Tax","小計含稅基地項目"
"Base Original Price","基建議售價"
"Base Price","基價"
"Base Price Including Tax","基準價格含稅"
"Base Shipping","基地運送"
"Base Shipping Discount","相應的運費折扣"
"Base Shipping Tax","相應的運費稅"
"Base Subtotal","基地小計"
"Base Subtotal Including Tax","基地小計含稅"
"Base Tax Amount","基本稅額"
"Base Total Due","基地總由於"
"Base Total Paid","基地總支出"
"Base Total Refunded","基地總退款"
"Buy Now URL","產品來源英國現在的URL"
"Can Be Divided into Multiple Boxes for Shipping","可分為多箱航運"
"Canceled Qty","取消數量"
"Catalog","目錄"
"Catalog Product","目錄產品"
"CatalogInventory","CatalogInventory"
"Category ID","類別ID"
"City","城市"
"Company","公司"
"Country","國家"
"Coupon Code","優惠券代碼"
"Create","建立"
"Create Permanent Redirect for old URL","建立永久重定向舊的URL"
"Created From","建立從"
"Customer","顧客"
"Customer Address","客戶地址"
"Customer Address ID","客戶地址ID"
"Customer Balance","客戶餘額"
"Customer First Name","客戶名"
"Customer ID","客戶ID"
"Customer Last Name","客戶的姓氏"
"Customer Middle Name","客戶中間名"
"Customer Prefix","顧客前綴"
"Customer Suffix","顧客後綴"
"Default Image","預設圖像"
"Delete","刪除"
"Deny","否認"
"Disable automatic group change based on VAT ID","禁用自動組變化，根據增值稅ID"
"Discount","折扣"
"Discount Amount","折扣金額"
"Discount Description","折扣說明"
"Edit","編輯"
"Edit %s ACL attribute rules","編輯%的ACL屬性規則"
"Edit Role","編輯角色"
"Edit attribute rules for %s Role","編輯%s角色的屬性規則"
"Email","電子郵件"
"Enable Qty Increments","啟用數量遞增"
"Exclude","排除"
"File Content","文件內容"
"File MIME Type","文件的MIME類型"
"File Name","文件名"
"Final Price With Tax","隨著稅收的最終價格"
"Final Price Without Tax","最終價格未稅"
"First Name","名字"
"Gift Message","禮品訊息"
"Grand Total","累計"
"Grand Total to Be Charged","總計收取"
"Group","組"
"Guest","客人"
"Has Custom Options","具有自定選項"
"ID","編號"
"Inventory Data","庫存資料"
"Invoiced Qty","發票數量"
"Is Confirmed","確認"
"Is Default Billing Address","是預設的帳單地址"
"Is Default Shipping Address","預設送貨地址"
"Item ID","物品ID"
"Item Subtotal","項目小計"
"Item Subtotal Including Tax","項目小計含稅"
"Label","標籤"
"Last Logged In","最後登錄"
"Last Name","姓"
"Low Stock Date","低庫存日期"
"Manage Stock","管理庫存"
"Maximum Qty Allowed in Shopping Cart","允許的最大數量在購物車"
"Minimum Qty Allowed in Shopping Cart","允許在購物車的最低數量"
"New Role","新角色"
"Notify for Quantity Below","通知的數量低於"
"OAuth","OAuth的"
"Order","秩序"
"Order Addresses","訂購地址"
"Order Comments","為了評論"
"Order Currency","為了貨幣"
"Order Date","訂購日期"
"Order ID","訂單ID"
"Order ID (internal)","訂單ID（內部）"
"Order Item ID","訂購物品ID"
"Order Items","訂單項目"
"Order Status","訂單狀態"
"Ordered Qty","訂購數量"
"Orders","訂單"
"Original Price","建議售價"
"Parent Order Item ID","父訂購物品ID"
"Payment Method","付款方式"
"Phone Number","電話號碼"
"Placed from IP","擺放IP"
"Please enter a valid number in ""max_sale_qty"" field","在 ""max_sale_qty"" 欄位請輸入有效的數字"
"Please enter a valid number in ""min_qty"" field","在 ""min_qty"" 欄位請輸入有效的數字"
"Please enter a valid number in ""min_sale_qty"" field","在 ""min_sale_qty"" 欄位請輸入有效的數字"
"Please enter a valid number in ""notify_stock_qty"" field","在 ""notify_stock_qty"" 欄位請輸入有效的數字"
"Please use numbers only in ""category_id"" field.","在 ""category_id"" 欄位中請使用唯一的號碼。"
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas"
"Position","位置"
"Price","價格"
"Price Including Tax","含稅價格"
"Product","產品"
"Product Category","產品類別"
"Product ID","產品編號"
"Product Image","產品圖片"
"Product Type","產品類型"
"Product URL","產品網址"
"Product Website","產品網站"
"Product and Custom Options Name","產品和自定選項名稱"
"Qty","數量"
"Qty Increments","數量遞增"
"Qty Uses Decimals","數量使用小數"
"Qty for Item's Status to Become Out of Stock","為項目的狀態數量，成為缺貨"
"REST - Attributes","REST的 - 屬性"
"REST - Roles","REST的 - 角色"
"REST ACL Attributes","休息ACL屬性"
"REST Attributes","REST的屬性"
"REST Role","REST的作用"
"REST Roles","REST的角色"
"REST Roles Information","REST的角色資訊"
"Read","閱讀"
"Refunded Qty","退還數量"
"Regular Price With Tax","稅務建議售價"
"Regular Price Without Tax","定期未稅價格"
"Rest Roles","其餘角色"
"Retrieve","取回"
"Role ""%s"" no longer exists","角色 ""%s"" 不  再存在"
"Role ""%s"" not found.","Role ""%s"" not found"
"Role API Resources","角色的API資源"
"Role Info","角色資訊"
"Role Information","角色資訊"
"Role Name","角色名稱"
"Role Users","角色的使用者"
"Role has been deleted.","Role has been deleted"
"Roles","角色"
"SKU","產品統一編號"
"Salability Status","暢銷狀態"
"Sales","銷售"
"Save","儲存"
"Shipped Qty","發運數量"
"Shipping Amount","航運量"
"Shipping Discount","航運折扣"
"Shipping Including Tax","航運含稅"
"Shipping Method","運送方法"
"Shipping Tax","送貨稅"
"State","州"
"Stock Availability","存貨"
"Stock ID","股票代號"
"Stock Item","庫存產品"
"Stock Status","庫存情況"
"Store Currency to Order Currency Rate","儲存貨幣訂購貨幣匯率"
"Store Name","商店名稱"
"Street","街頭"
"Subtotal","小計"
"Subtotal Including Tax","小計含稅"
"System","系統"
"Tax Amount","稅額"
"Tax Name","稅名"
"Tax Percent","稅收的百分比"
"Tax Rate","稅率"
"The ""enable_qty_increments"" field must be set to 0 or 1.","""enable_qty_increments"" 欄位必須設定為 0 or 1"
"The ""is_decimal_divided"" field must be set to 0 or 1.","""is_decimal_divided"" 欄位必須設定為 0 or 1"
"The ""is_in_stock"" field must be set to 0 or 1.","""is_in_stock"" 欄位必須設定為 0 or 1"
"The ""is_qty_decimal"" field must be set to 0 or 1.","""is_qty_decimal"" 欄位必須設定為 0 or 1"
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","""is_qty_decimal"" 欄位必須設定為 0, 1, or 2"
"The ""manage_stock"" field must be set to 0 or 1.","""manage_stock"" 欄位必須設定為 0 or 1"
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","""stock_status_changed_auto"" 欄位必須設定為 0 or 1"
"The ""use_config_backorders"" field must be set to 0 or 1.","""use_config_backorders"" 欄位必須設定為 0 or 1"
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","""use_config_enable_qty_inc"" 欄位必須設定為 0 or 1"
"The ""use_config_manage_stock"" field must be set to 0 or 1.","""use_config_manage_stock"" 欄位必須設定為 0 or 1"
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","""use_config_max_sale_qty"" 欄位必須設定為 0 or 1"
"The ""use_config_min_qty"" field must be set to 0 or 1.","""use_config_min_qty"" 欄位必須設定為 0 or 1"
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","""use_config_min_sale_qty"" 欄位必須設定為 0 or 1"
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","""use_config_notify_stock_qty"" 欄位必須設定為 0 or 1"
"The ""use_config_qty_increments"" field must be set to 0 or 1.","""use_config_qty_increments"" 欄位必須設定為 0 or 1"
