"# of Use","使用次數"
"%1$s incl tax.","%1$s 含稅"
"%s - %s","%s - %s"
"%s Item(s)","%s 個項目"
"%s and above","%s 以上"
"(%d)","(%d)"
"(Copy data from: %s)","(複製資料自: %s)"
"* Required Fields","* 必填欄位"
"-- Please Select --","-- 請選擇 --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","如果沒有設定，預設為86400。為了立即更新，請清空HTML區塊快取輸出"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">警告！</strong> 預設套用地圖會在前台隱藏所有產品價格"
"A group with the same name already exists.","相同名字的群組已經存在"
"A name is required","名字必填"
"A product type is not defined for the indexer.","產品類型沒有在索引定義"
"ALL GROUPS","所有群組"
"AM","AM"
"Action","操作"
"Actual Price","實際價格"
"Add","新增"
"Add Attribute","新增屬性"
"Add Design Change","新增介面設計"
"Add Group","新增群組"
"Add Group Price","新增群組價格"
"Add New","新增"
"Add New Attribute","新增屬性"
"Add New Attribute Set","新增屬性集合"
"Add New Group","新增群組"
"Add New Images","新增圖片"
"Add New Option","新增選項"
"Add New Row","新增行"
"Add New Search Term","新增搜尋關鍵字"
"Add New Set","新增集合"
"Add Product","新增產品"
"Add Product To Websites","新增產品到網站"
"Add Root Category","新增根目錄"
"Add Subcategory","新增子目錄"
"Add Tax","新增稅"
"Add Tier","新增層次"
"Add attribute into attribute set","新增屬性到屬性集合"
"Add group into attribute set","新增群組到屬性集合"
"Add new custom option into product","新增自訂選項到產品"
"Add new values into custom option","新增數值到自訂選項"
"Add option","新增選項"
"Add to Cart","加入購物車"
"Add to Compare","加入比較"
"Add to Wishlist","加入待購清單"
"Additional Information","其他資訊"
"Alert Urls","警告網址"
"All","所有"
"All Product Types","所有產品類型"
"All Websites","所有網站"
"All products","所有產品"
"All products - recently added products, New products - products marked as new","所有產品 - 最近新增的產品，新產品 – 標示為新的產品"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","所有使用此屬性集合的產品將會被刪除！您確定要刪除此屬性集合嗎？"
"Allow All Products per Page","分類允許顯示所有產品"
"Allow Dynamic Media URLs in Products and Categories","允許在產品與分類中使用動態媒體網址"
"Allow HTML Tags on Frontend","允許前台使用HTML標記"
"Allowed File Extensions","允許檔案後綴"
"Allowed file extensions to upload","允許上傳檔案後綴"
"An error occurred while adding products to websites.","增加產品到網站時出錯"
"An error occurred while clearing comparison list.","清空比較時出錯"
"An error occurred while deleting this review.","刪除這個評論時發生錯誤"
"An error occurred while removing products from websites.","從網站刪除產品時出錯"
