"%s Item(s)","%s 個項目"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","透過 (Shift-)點選或拖曳來異動數值"
"(ver. %s)","(版本 %s)"
"- Click on any of the time parts to increase it","- 點選時間的任何部分即可更改"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上面按鈕按住滑鼠左鍵來快速選取"
"- Use the %s buttons to select month","- 使用%s 按鈕選擇月份"
"- Use the %s, %s buttons to select year","- 使用%s，%s按鈕選擇年份"
"- or Shift-click to decrease it","- 或Shift-點選以減小"
"- or click and drag for faster selection.","- 或是點選後拖曳來快速選取"
"-- Please Select --","-- 請選擇 --"
"1 column","一列"
"2 columns with left bar","兩列（左面工具欄）"
"2 columns with right bar","兩列（右面工具欄）"
"3 columns","三列"
"About the calendar","關於日曆"
"All Empty Layout Pages","所有空版面頁面"
"All One-Column Layout Pages","所有單列布頁面"
"All Pages","所有頁面"
"All Pages (Print Version)","所有頁面 (列印版)"
"All Three-Column Layout Pages","所有三列版面頁面為"
"All Two-Column Layout Pages (Left Column)","所有兩列版面頁面(左欄)"
"All Two-Column Layout Pages (Right Column)","所有兩列版面頁面(右欄)"
"Allow","允許"
"Breadcrumbs","麵包屑"
"Click <a href=""%s"">here</a> if nothing has happened","如果沒有反應，請點選<a href=""%s"">這裡</a>"
"Close","關閉"
"Close Window","關閉視窗"
"DHTML Date/Time Selector","DHTML 日期/時間選擇器"
"Date selection:","選擇日期："
"Default Description","預設說明"
"Default welcome msg!","預設歡迎訊息！"
"Display %s first","顯示前 %s個"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details"
"Drag to move","拖曳以移動"
"Empty","空值"
"For latest version visit: %s","最新版訪問：%s"
"Free Shipping on orders over 50$","滿50$免運費"
"Go Today","轉到今天"
"Help Us to Keep Magento Healthy","協助我們改善 Magento"
"Interface Language","介面語言"
"Items %s to %s of %s total","%s到%s，共%s"
"JavaScript seems to be disabled in your browser.","您的瀏覽器似乎關閉了 JavaScript 功能"
"Left Column","左欄"
"Main Content Area","主內容區"
"Navigation Bar","導覽條"
"Next","下一頁"
"Next month (hold for menu)","下個月（按下可打開選單）"
"Next year (hold for menu)","明年（按下可打開選單）"
"Page Bottom","頁面底部"
"Page Footer","頁尾"
"Page Header","頁首"
"Page Top","頁面頂部"
"Page:","頁："
"Prev. month (hold for menu)","上個月（按下選單）"
"Prev. year (hold for menu)","去年（按下可打開選單）"
"Previous","上一頁"
"Redirecting...","正在引導頁面.."
"Report All Bugs","回報所有錯誤"
"Right Column","右欄"
"Select Store","選擇商店"
"Select Store:","選擇商店:"
"Select date","選擇日期"
"Show","顯示"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","這是演示商店，所有訂單都不會被處理"
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","這個網站需要 cookies 來提供所有功能，關於 cookies 包含的資料，請參考我們的 <a href=""%s"">隱私權政策</a>。要接受來自這個網站的來自這個網站 cookies ，請點選下面的接受按鈕。"
"Time selection:","時間選擇："
"Time:","時間："
"Welcome, %s!","歡迎您，%s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","必須在您的瀏覽器裡啟用JavaScript程式，才能使用這個網站上的功能"
"Your Language","您的語言"
"Your Language:","您的語言："
"per page","筆 | 每頁"
